Watershed,River Mile,Site ID,Site Name,Sample Date,Entero. Count,Day of Rain (in.),Prior Day,2 Days Prior,3 Days Prior,Weather Station,Lab,Sample Type,Sample Order,Fluorescence,Comments ,Dilution ,QA Qualifier,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/20/15 11:00,10,0.01,0,0.29,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/27/15 8:55,52,0,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/3/15 14:40,<10,0,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/10/15 11:20,>24196,1.58,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/17/15 7:45,63,0,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/24/15 7:50,10,0,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,10/1/15 8:20,7556,0.09,1.26,0.11,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,5/26/16 16:51,<10,0,0,0.18,0.02,KNYC,RTB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/2/16 17:10,<10,0,0,0,1.65,KNYC,RTB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/9/16 17:05,>24196,0,0.45,0,0,KNYC,RTB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/7/16 12:12,52,0.04,0,0.66,0.49,KNYC,RTB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/28/16 15:12,204,0,0,0,1,KNYC,RTB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/15/17 11:50,130,0,0.29,0,0,KNYC,BxRA,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/13/17 0:00,10,0,0,0,0,KNYTHEBR5,BxRA,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/7/17 11:30,173,0,0.44,0,0,KNYTHEBR5,BxRA,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,5/24/18 10:05,20,0,0,0,0,KNYTHEBR5,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/7/18 9:37,122,0,0,0,0.94,KNYTHEBR5,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/21/18 9:37,122,0,0,0,0.94,KNYTHEBR5,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/19/18 10:10,8297,0,0,2.52,0,KNYTHEBR5,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/2/18 10:10,2333,0.01,0.13,0,0,KNYTHEBR5,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/30/18 11:30,41,0,0,0,0,KNYTHEBR5,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/13/18 9:40,605,0.12,0.18,0.22,1.79,KNYTHEBR5,CURB,Watershed,Main Stem,,,,,,,,,
